Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
/2020/06/04/students-sign-petition-to-fire-ucla-lecturer-after-many-find-his-email-insensitive,"40,351","37,035",0:04:55,"36,124",90.77%,89.38%,$0.00
/2020/04/24/uc-and-ucla-leadership-in-discussion-regarding-fall-quarter-plans/,"28,584","27,159",0:04:03,"25,859",92.23%,90.34%,$0.00
/2020/04/10/stans-donuts-to-close-after-55-years-of-business-citing-covid-19/,"18,392","17,048",0:03:17,"16,796",91.16%,89.90%,$0.00
/2020/04/28/ucla-announces-aim-to-offer-remote-instruction-option-for-fall-quarter/,"15,642","14,510",0:03:21,"13,672",86.78%,84.82%,$0.00
/2020/05/13/ucla-tells-faculty-to-prepare-for-remote-fall-quarter-official-plans-unannounced/,"14,876","13,723",0:03:54,"13,038",89.38%,87.39%,$0.00
/2020/03/31/racist-zoombombing-incidents-at-ucla-disrupt-online-classes-and-students/,"12,998","11,975",0:04:04,"11,389",91.23%,88.60%,$0.00
/2020/03/15/the-quad-for-seniors-an-online-spring-quarter-means-an-incomplete-college-experience/,"11,870","11,010",0:04:23,"10,681",92.22%,90.00%,$0.00
/2020/05/27/uc-must-work-with-anthem-to-continue-telehealth-coverage-after-pandemic-ends/,"10,871","10,854",0:04:28,"10,810",99.90%,99.62%,$0.00
/2020/03/13/ucla-extends-online-instruction-through-end-of-spring-quarter/,"9,671","8,773",0:04:10,"7,972",87.86%,83.96%,$0.00
/2020/03/18/ucla-moves-spring-graduation-ceremonies-online-to-curb-spread-of-covid-19/,"8,780","8,091",0:03:33,"7,398",91.02%,86.94%,$0.00
/2020/04/23/nfl-mock-draft-2020-where-ucla-footballs-departing-players-might-end-up/,"8,645","8,109",0:05:30,"8,029",92.90%,92.28%,$0.00
/2020/03/09/editorial-ucla-needs-to-follow-lead-of-other-universities-better-prepare-for-covid-19/,"6,289","5,945",0:04:02,"5,571",89.01%,86.85%,$0.00
/2020/03/11/ucla-among-5-uc-campuses-to-offer-in-house-covid-19-testing/,"6,127","5,759",0:03:37,"5,412",91.15%,88.53%,$0.00
/2020/05/01/5-westwood-village-ralphs-workers-test-positive-for-covid-19/,"6,027","5,366",0:03:57,"5,081",87.33%,84.37%,$0.00
/2020/06/15/ucla-announces-fall-quarter-plans-for-classes-housing-health-precautions,"6,006","5,618",0:03:12,"5,023",88.37%,84.38%,$0.00
/2020/03/22/ucla-may-convert-campus-facilities-to-hospitals-for-covid-19-patients-if-needed/,"5,797","5,330",0:03:27,"4,780",89.16%,84.47%,$0.00
/2020/04/01/uc-lifts-testing-requirements-other-admissions-standards-in-response-to-pandemic/,"5,700","5,337",0:03:37,"5,085",92.09%,89.49%,$0.00
/2020/05/14/lack-of-transparency-on-fall-quarter-plans-hinders-students-ability-to-plan-ahead/,"5,553","5,339",0:04:33,"4,912",91.06%,88.71%,$0.00
/2020/06/03/ucla-leased-jackie-robinson-stadium-facilities-used-by-lapd-to-detain-protestors,"5,239","4,822",0:04:26,"4,348",88.57%,83.66%,$0.00
/2020/05/07/ucla-uses-cares-act-funds-to-offer-all-eligible-students-at-least-200/,"5,046","4,541",0:03:45,"4,306",87.09%,85.10%,$0.00
/2020/03/10/ucla-to-suspend-in-person-classes-until-april-10-to-limit-spread-of-coronavirus/,"5,027","4,613",0:03:22,"3,512",89.07%,80.68%,$0.00
/2020/05/26/amended-la-stay-at-home-orders-include-reopenings-mandated-face-coverings-outside/,"4,840","4,573",0:05:15,"4,448",93.71%,92.27%,$0.00
/2020/05/28/student-diagnosed-with-first-confirmed-case-of-covid-19-on-the-hill/,"4,830","4,555",0:02:43,"4,165",89.96%,86.44%,$0.00
/2020/05/20/napolitano-says-ucs-will-likely-operate-on-hybrid-basis-for-fall-decision-not-yet-made/,"4,634","4,328",0:03:22,"3,850",88.96%,85.22%,$0.00
/2020/03/19/another-ucla-staff-member-tested-positive-for-covid-19-bringing-total-cases-to-3/,"4,502","4,214",0:02:30,"3,655",88.73%,83.47%,$0.00
/2020/04/22/los-angeles-expands-covid-19-testing-to-all-essential-workers-regardless-of-symptoms/,"4,398","3,886",0:03:26,"3,770",88.46%,85.88%,$0.00
/2020/04/29/electrician-who-worked-at-ronald-reagan-ucla-medical-center-dies-of-covid-19/,"4,281","3,836",0:03:49,"3,494",86.86%,82.22%,$0.00
/2020/04/06/international-students-speak-on-how-they-are-impacted-by-covid-19/,"4,032","3,751",0:05:09,"3,567",92.54%,88.62%,$0.00
/2020/04/14/even-now-ucla-is-under-construction-this-time-its-on-a-minecraft-server/,"4,029","3,645",0:03:10,"3,463",87.99%,85.33%,$0.00
/2020/03/28/ucla-records-2-new-cases-of-covid-19-in-community-bringing-total-to-7/,"3,864","3,568",0:03:01,"3,305",87.90%,84.52%,$0.00
/2020/03/15/la-mayor-garcetti-orders-closure-of-bars-and-restaurants-to-slow-spread-of-covid-19/,"3,813","3,539",0:04:04,"3,383",91.81%,89.51%,$0.00
/2020/03/17/ucla-student-tests-positive-for-covid-19-in-universitys-2nd-confirmed-case/,"3,760","3,569",0:02:06,"3,140",91.78%,86.46%,$0.00
/2020/03/26/students-may-take-multiple-pass-no-pass-classes-in-the-spring-in-light-of-covid-19/,"3,714","3,518",0:03:11,"3,164",91.37%,86.86%,$0.00
/2020/04/16/mens-basketball-nets-increased-depth-with-additions-to-2020-recruiting-class/,"3,707","3,548",0:03:33,"3,169",90.72%,87.78%,$0.00
/2020/03/25/more-than-80-of-residents-leave-the-hill-after-decision-to-move-classes-online/,"3,646","3,455",0:02:43,"2,924",89.57%,82.14%,$0.00
/2020/05/16/martin-jarmond-selected-to-replace-dan-guerrero-as-ucla-athletics-director/,"3,364","3,154",0:03:35,"2,848",91.71%,87.37%,$0.00
/2020/03/16/staff-member-tests-positive-for-covid-19-in-first-confirmed-case-at-ucla/,"3,284","3,012",0:02:44,"2,671",88.32%,83.62%,$0.00
/2020/05/03/uc-incurs-over-500m-in-unexpected-costs-because-of-covid-19/,"3,258","3,113",0:04:04,"2,873",93.53%,88.83%,$0.00
/2020/04/21/ucla-rejects-possibility-of-spring-tuition-refund-usac-stresses-transparency/,"3,205","2,995",0:03:28,"2,576",87.15%,82.06%,$0.00
/2020/04/09/guard-johnny-juzang-to-transfer-from-kentucky-to-ucla-mens-basketball/,"3,157","3,017",0:03:21,"2,752",93.68%,89.83%,$0.00
/2020/04/13/all-summer-2020-ucla-orientation-programs-to-be-held-online/,"3,129","2,866",0:01:59,"2,533",80.26%,76.35%,$0.00
/2020/03/12/ucla-academic-senate-relaxes-final-exam-restrictions-in-response-to-coronavirus/,"3,072","2,895",0:03:22,"2,550",90.98%,85.16%,$0.00
/2020/03/08/in-response-to-the-coronavirus-ucla-to-host-information-session-for-students/,"3,020","2,855",0:02:36,"2,674",85.83%,83.61%,$0.00
/2020/04/28/students-sue-uc-and-csu-systems-demand-refunds-amid-covid-19-campus-closures/,"3,010","2,828",0:02:48,"2,601",89.27%,84.78%,$0.00
/2020/06/01/westwood-protest-continues-despite-cancellation-police-detain-at-least-10,"2,954","2,736",0:03:27,"2,218",86.93%,79.69%,$0.00
/2020/04/16/los-angeles-county-approves-new-tenant-protections-relief-amid-growing-rent-woes/,"2,939","2,784",0:04:36,"2,714",93.40%,91.94%,$0.00
/2020/03/25/second-ucla-student-tests-positive-for-the-new-coronavirus/,"2,918","2,693",0:02:55,"2,316",86.66%,80.67%,$0.00
/2020/03/19/ucla-reconsiders-virtual-commencement-block-offers-apology/,"2,900","2,723",0:02:40,"2,317",87.79%,81.07%,$0.00
/2020/04/20/womens-basketball-guard-jaden-owens-transfers-to-join-baylor-lady-bears/,"2,890","2,762",0:02:54,"2,671",94.83%,92.42%,$0.00
/2020/04/17/un-connon-opinions-chris-smith-would-be-wise-to-forgo-nba-draft-stay-at-ucla-for-his-senior-year/,"2,813","2,699",0:03:53,"2,492",87.28%,84.46%,$0.00
/2020/04/10/safer-at-home-order-new-measures-to-remain-in-force-till-may-15/,"2,793","2,637",0:02:52,"2,437",91.26%,87.61%,$0.00
/2020/06/01/usac-leadership-requests-immediate-removal-of-national-guard-from-ucla-area,"2,562","2,407",0:03:06,"2,126",88.05%,82.55%,$0.00
/2020/06/03/editorial-uclas-deafening-silence-on-black-lives-matter-movement-sanctions-complicity-hurts-bruins,"2,486","2,262",0:03:28,"1,780",82.30%,76.19%,$0.00
/2020/03/11/ucla-students-reassess-finals-week-spring-break-plans-in-light-of-covid-19/,"2,481","2,365",0:02:40,"1,687",86.60%,75.21%,$0.00
/2020/04/08/op-ed-local-national-government-must-address-inequalities-exacerbated-by-pandemic/,"2,473","2,392",0:03:58,"2,347",96.08%,94.50%,$0.00
/2020/04/27/professors-tweets-regarding-covid-19-elicit-student-concerns-of-xenophobic-tone/,"2,464","2,319",0:03:17,"1,973",91.38%,84.38%,$0.00
/2020/04/08/usac-approves-candidates-and-referenda-for-online-spring-2020-election-ballot/,"2,313","2,030",0:03:13,"1,394",78.77%,68.83%,$0.00
/2020/04/22/movie-review-despite-its-detailed-animation-the-willoughbys-delivers-an-uninspiring-comedy/,"2,279","2,168",0:05:29,"2,150",94.84%,93.68%,$0.00
/2020/05/15/ucla-cardiologist-accused-of-sexual-assault-to-have-medical-license-revoked/,"2,234","2,115",0:02:20,"1,874",88.63%,82.18%,$0.00
/2020/03/05/assembly-bill-2712-proposes-universal-basic-income-to-california-residents/,"2,233","2,125",0:04:23,"2,120",95.33%,94.63%,$0.00
/2020/04/09/ucla-must-adjust-tuition-student-fees-to-match-the-quality-of-online-instruction/,"2,223","2,101",0:03:52,"1,843",86.44%,83.00%,$0.00
/2020/05/11/ucla-to-hold-summer-session-c-online-considering-selective-in-person-instruction/,"2,201","2,081",0:01:59,"1,843",86.00%,80.74%,$0.00
/2020/04/09/mayor-garcetti-announces-face-covering-requirement-for-essential-workers-customers/,"2,151","2,048",0:03:32,"1,961",93.68%,91.91%,$0.00
/2020/05/27/dentistry-professor-sues-uc-for-alleged-retaliation-following-title-ix-testimony/,"2,116","1,831",0:04:50,"1,628",85.01%,79.63%,$0.00
/2020/04/06/la-county-expands-covid-19-testing-to-any-resident-showing-symptoms/,"2,107","2,005",0:03:19,"1,923",92.88%,90.65%,$0.00
/2020/04/13/editorial-stimulus-package-ignores-needs-of-college-students-warrants-further-consideration/,"2,089","1,997",0:03:43,"1,912",93.88%,91.67%,$0.00
/2020/05/08/naomi-riley-elected-usac-president-with-highest-voter-turnout-since-2016/,"2,052","1,901",0:03:35,"1,117",86.39%,74.56%,$0.00
/2020/03/13/gene-block-announces-14-day-self-quarantine-amid-covid-19-concerns/,"2,034","1,899",0:02:42,"1,608",88.68%,81.51%,$0.00
/2020/02/05/recent-rewinds-spin-off-chapter-explores-how-death-note-would-play-out-in-modern-day/,"1,948","1,833",0:04:28,"1,829",94.10%,93.53%,$0.00
/2020/03/27/gov-newsom-enacts-statewide-eviction-moratorium-for-those-affected-by-covid-19/,"1,898","1,803",0:04:20,"1,742",93.57%,91.73%,$0.00
/2020/05/19/parent-sentenced-to-pay-250000-fine-after-attempt-to-bribe-sons-way-into-ucla/,"1,783","1,706",0:02:29,"1,454",90.37%,81.60%,$0.00
/2020/05/01/ucla-mens-basketballs-jalen-hill-withdraws-name-from-nba-draft-pool/,"1,757","1,665",0:02:47,"1,442",88.83%,83.49%,$0.00
/2020/04/28/ucla-to-implement-daily-symptom-monitoring-clearance-for-on-campus-employees/,"1,681","1,497",0:03:02,"1,270",84.72%,77.75%,$0.00
/2020/05/14/editorial-usac-should-focus-on-creating-meaningful-change-not-spreading-negative-rhetoric/,"1,678","1,475",0:03:28,"1,206",83.58%,77.41%,$0.00
/2020/04/01/ucla-moves-summer-session-a-online-extending-remote-instruction-through-aug-28/,"1,648","1,528",0:02:38,"1,013",80.75%,70.21%,$0.00
/2020/05/13/ucla-tells-faculty-to-prepare-for-remote-fall-quarter-official-plans-unannounced,"1,645","1,556",0:01:55,"1,373",78.44%,76.72%,$0.00
/2020/04/06/the-quad-ways-to-stay-connected-curb-boredom-during-covid-19-social-distancing/,"1,643","1,576",0:03:32,"1,498",95.13%,91.78%,$0.00
/2020/05/19/killing-eve-season-3-recap-episode-6-end-of-game/,"1,640","1,559",0:04:34,"1,527",92.80%,91.46%,$0.00
/2020/05/05/gymnastics-team-adjusts-to-life-outside-the-sport-after-a-season-cut-short/,"1,621","1,550",0:03:02,"1,486",93.20%,90.62%,$0.00
/2020/06/01/revised-california-budget-proposal-to-cut-uc-funding-by-up-to-372m,"1,613","1,525",0:03:43,"1,443",90.09%,87.35%,$0.00
/2020/04/14/scouting-report-chris-smith/,"1,585","1,515",0:04:34,"1,333",93.77%,89.34%,$0.00
/2020/03/10/ucla-holds-information-session-to-address-concerns-regarding-covid-19/,"1,568","1,453",0:03:32,"1,158",83.25%,78.38%,$0.00
/2020/03/24/ucla-moves-bruin-day-online-because-of-covid-19-outbreak/,"1,568","1,460",0:01:32,"1,101",88.28%,77.42%,$0.00
/2020/04/20/editorial-usacs-lack-of-clear-social-media-guidelines-allows-for-negative-online-culture/,"1,502","1,361",0:03:48,"1,140",84.65%,78.23%,$0.00
/2020/04/11/kyla-ross-named-2019-2020-daily-bruin-sports-ucla-athlete-of-the-year/,"1,474","1,395",0:02:45,"1,286",92.77%,89.01%,$0.00
/2020/05/01/usac-committees-offer-reliefs-funds-to-assist-students-affected-by-covid-19/,"1,462","1,339",0:02:53,"1,115",84.22%,78.86%,$0.00
/2020/03/27/album-review-5-seconds-of-summer-overcomes-repetitive-sound-with-lyrical-depth-in-calm/,"1,455","1,375",0:05:39,"1,356",93.36%,92.03%,$0.00
/2020/04/14/ucs-test-optional-policy-for-2021-applicants-invites-bias-into-admissions-process/,"1,455","1,375",0:03:54,"1,270",92.28%,89.00%,$0.00
/2020/03/19/gov-newsom-issues-new-stay-at-home-order-in-effort-to-slow-covid-19-spread/,"1,449","1,378",0:03:04,"1,084",92.25%,83.09%,$0.00
/2020/03/19/seniors-reflect-on-leaving-friends-ucla-as-spring-quarter-moves-online/,"1,446","1,337",0:04:03,871,86.22%,73.31%,$0.00
/2020/04/15/still-on-the-hill-students-face-loneliness-and-lack-of-vegetables/,"1,442","1,347",0:04:32,"1,113",91.02%,81.21%,$0.00
/2020/04/04/coronavirus-qa-testing-capabilities-how-westwood-is-faring-and-life-at-ucla/,"1,435","1,335",0:03:33,"1,062",85.78%,77.84%,$0.00
/2020/03/26/ucla-health-increases-coronavirus-testing-capacity-as-us-faces-shortage/,"1,403","1,304",0:02:34,"1,134",87.57%,82.97%,$0.00
/2020/04/28/ucla-mens-basketball-forward-center-jalen-hill-enters-2020-nba-draft/,"1,402","1,343",0:01:57,"1,182",88.66%,83.88%,$0.00
