Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
/,"90,941","74,000",0:01:24,"63,825",45.99%,45.02%,$0.00 
/2020/06/04/students-sign-petition-to-fire-ucla-lecturer-after-many-find-his-email-insensitive,"41,497","38,105",0:04:55,"37,002",90.70%,89.16%,$0.00 
/2020/07/11/album-review-juice-wrld-proves-legends-never-die-in-album-released-after-his-death,"24,298","18,392",0:02:35,"18,345",79.60%,75.12%,$0.00 
/category/news,"20,575","15,296",0:01:23,"5,014",47.06%,33.24%,$0.00 
/2020/10/24/student-dies-after-falling-from-westwood-apartment-building,"20,347","17,904",0:04:06,"15,854",85.16%,82.16%,$0.00 
/2019/04/12/as-sesquicentennial-occurs-debate-on-arrangement-of-periodic-table-continues,"12,609","11,504",0:06:04,"11,494",91.89%,90.98%,$0.00 
/category/sports,"11,078","8,764",0:01:00,"4,205",54.51%,39.95%,$0.00 
/2020/07/16/ucs-2020-acceptance-rate-rose-to-69-5-admitting-record-number-of-students,"10,921","10,367",0:03:30,"10,004",91.28%,89.58%,$0.00 
/2020/07/05/ucla-school-of-dentistry-fails-to-implement-many-covid-19-mitigating-practices,"10,792","9,627",0:05:47,"9,165",87.09%,84.15%,$0.00 
/2020/09/18/landlord-arrested-for-vandalism-in-attempt-to-evict-ucla-students-before-end-of-lease,"9,562","8,998",0:03:43,"8,638",92.29%,89.94%,$0.00 
/2020/06/15/ucla-announces-fall-quarter-plans-for-classes-housing-health-precautions,"8,500","7,977",0:02:48,"6,891",87.82%,83.00%,$0.00 
/2010/10/21/pros_and_cons_of_prop_23,"8,372","8,039",0:04:22,"8,035",96.09%,95.69%,$0.00 
/2019/09/19/getting-into-ucla-is-hard-getting-into-these-ucla-schools-is-harder,"7,243","6,938",0:05:36,"6,848",93.91%,93.26%,$0.00 
/2020/06/27/under-armour-seeks-to-end-record-breaking-sponsorship-deal-with-ucla,"6,867","6,681",0:02:46,"6,461",96.01%,94.23%,$0.00 
/2020/07/05/the-blm-glossary-hashtags-and-terms-to-know,"6,684","6,206",0:04:38,"6,063",92.78%,91.28%,$0.00 
/2020/09/25/album-review-joji-falls-into-predictable-pattern-fails-to-raise-bar-with-new-album-nectar,"6,606","6,294",0:03:29,"6,240",93.62%,92.58%,$0.00 
/category/opinion,"6,548","5,062",0:01:16,821,53.11%,32.27%,$0.00 
/2020/08/07/usac-unanimously-passes-resolution-in-support-of-renaming-janss-steps-to-tongva-steps,"6,088","5,679",0:03:43,"5,174",89.52%,85.79%,$0.00 
/2020/06/03/ucla-leased-jackie-robinson-stadium-facilities-used-by-lapd-to-detain-protestors,"5,516","5,077",0:04:22,"4,529",88.21%,83.01%,$0.00 
/2020/09/12/air-quality-in-westwood-deemed-unhealthy-as-a-result-of-nearby-fires,"4,424","4,333",0:02:06,"4,176",96.72%,94.44%,$0.00 
/2020/07/06/janss-brothers-history-of-discrimination-prompts-call-for-changing-name-of-steps,"4,420","4,109",0:04:03,"3,476",85.24%,79.75%,$0.00 
/1997/11/17/what-does-whitewashed-mean,"3,983","3,805",0:08:06,"3,801",95.76%,95.28%,$0.00 
/2020/07/03/students-search-for-alternatives-amid-disrupted-on-campus-housing-plans-for-fall,"3,873","3,721",0:03:06,"3,396",91.28%,86.47%,$0.00 
/category/arts-entertainment,"3,865","2,806",0:01:01,444,43.02%,22.77%,$0.00 
/2020/02/05/recent-rewinds-spin-off-chapter-explores-how-death-note-would-play-out-in-modern-day,"3,699","3,530",0:05:51,"3,527",95.09%,94.94%,$0.00 
/2020/08/22/one-person-is-in-critical-condition-after-being-shot-in-westwood-on-saturday,"3,658","3,435",0:01:44,"2,855",90.86%,82.67%,$0.00 
/2020/10/24/student-dies-after-falling-from-westwood-apartment-building?fbclid=IwAR3JmJK9i5Q51ipdJ9rWRl4zdlOtFcfTK5T9JGTkTogaD4YtZDCThJ9Q9Cg,"3,336","3,081",0:03:15,"3,067",88.26%,87.14%,$0.00 
